epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,5340.89,0.37826,0.46559,1.05323,0.9511,0.87237,0.9374,0.82144,0.54053,0.56333,0.8015,0.000940855,0.000940855,0.000940855
134,5354.19,0.35383,0.42714,1.02001,0.94507,0.90358,0.9545,0.86786,0.49621,0.54838,0.76964,0.000935354,0.000935354,0.000935354
135,5368.68,0.36628,0.4406,1.01801,0.95366,0.90563,0.95351,0.86164,0.52521,0.46755,0.80542,0.000929853,0.000929853,0.000929853
136,5383.16,0.34918,0.42736,1.02987,0.97906,0.89781,0.95084,0.85747,0.49611,0.475,0.75969,0.000924352,0.000924352,0.000924352
137,5397.73,0.37991,0.44454,1.04224,0.9653,0.89208,0.93586,0.84448,0.50651,0.55029,0.78899,0.00091885,0.00091885,0.00091885
138,5412.04,0.34386,0.42471,1.02573,0.94419,0.9117,0.93824,0.84594,0.4951,0.5279,0.76929,0.000913349,0.000913349,0.000913349
139,5426.39,0.37366,0.43816,1.01871,0.94027,0.88542,0.93419,0.82826,0.51333,0.55444,0.76535,0.000907848,0.000907848,0.000907848
140,5440.71,0.34972,0.39241,1.01603,0.93586,0.88346,0.93409,0.80205,0.60256,0.57921,0.87858,0.000902347,0.000902347,0.000902347
141,5455.09,0.41059,0.49012,1.08983,0.95791,0.8576,0.93665,0.81322,0.57631,0.6128,0.8333,0.000896846,0.000896846,0.000896846
142,5469.37,0.35175,0.4381,1.01597,0.97763,0.89684,0.9504,0.86279,0.47245,0.4962,0.71664,0.000891345,0.000891345,0.000891345
143,5483.81,0.35692,0.44539,1.02853,0.96562,0.89781,0.94623,0.8634,0.52985,0.53776,0.79068,0.000885844,0.000885844,0.000885844
144,5497.57,0.3473,0.41816,1.00572,0.88399,0.88947,0.93768,0.83554,0.52615,0.66667,0.76859,0.000880343,0.000880343,0.000880343
145,5511.96,0.32984,0.40746,1.00677,0.96581,0.88036,0.94594,0.85719,0.46671,0.52751,0.72534,0.000874842,0.000874842,0.000874842
146,5526.34,0.33693,0.42812,1.00654,0.94748,0.91329,0.94524,0.85717,0.50903,0.54152,0.77578,0.00086934,0.00086934,0.00086934
147,5540.71,0.34289,0.41962,1.03795,0.95952,0.88904,0.93997,0.84899,0.5233,0.53253,0.79411,0.000863839,0.000863839,0.000863839
148,5555.03,0.33525,0.43383,1.0181,0.99089,0.88431,0.94561,0.85423,0.51372,0.52684,0.7647,0.000858338,0.000858338,0.000858338
149,5569.54,0.3525,0.42527,1.0221,0.97833,0.88811,0.93377,0.83295,0.54734,0.57984,0.80048,0.000852837,0.000852837,0.000852837
150,5584.03,0.34413,0.40157,1.01889,0.95401,0.9057,0.94714,0.82373,0.59321,0.58081,0.85067,0.000847336,0.000847336,0.000847336
151,5598.55,0.33167,0.40542,1.00423,0.95732,0.89781,0.95531,0.85683,0.51743,0.52297,0.77566,0.000841835,0.000841835,0.000841835
152,5612.96,0.37043,0.43849,1.03702,0.95238,0.8807,0.94429,0.8496,0.52677,0.55745,0.78452,0.000836334,0.000836334,0.000836334
153,5627.5,0.34781,0.42396,1.01229,0.97115,0.89573,0.9383,0.84055,0.51277,0.53942,0.78426,0.000830833,0.000830833,0.000830833
154,5641.23,0.33629,0.38671,1.01242,0.96393,0.89528,0.95185,0.86149,0.47156,0.49829,0.74688,0.000825332,0.000825332,0.000825332
155,5655.63,0.35857,0.43815,1.03916,0.9881,0.88904,0.94563,0.86355,0.48121,0.51766,0.74945,0.000819831,0.000819831,0.000819831
156,5670.22,0.35109,0.40114,1.02599,0.96851,0.89737,0.94548,0.85635,0.48476,0.4943,0.75364,0.000814329,0.000814329,0.000814329
157,5684.73,0.32421,0.40574,1.01295,0.94395,0.89913,0.93985,0.83016,0.52279,0.54328,0.81056,0.000808828,0.000808828,0.000808828
158,5699.24,0.33694,0.38892,0.99658,0.96613,0.88816,0.94505,0.84172,0.50944,0.50321,0.78622,0.000803327,0.000803327,0.000803327
159,5713.66,0.35643,0.41427,1.02643,0.97217,0.90824,0.95684,0.85101,0.50854,0.5103,0.76576,0.000797826,0.000797826,0.000797826
160,5728.2,0.33926,0.38251,1.01159,0.96951,0.90614,0.9548,0.8434,0.4948,0.48879,0.75635,0.000792325,0.000792325,0.000792325
161,5742.77,0.35507,0.42222,1.01687,0.96248,0.91969,0.94801,0.85882,0.48279,0.49896,0.73457,0.000786824,0.000786824,0.000786824
162,5757.59,0.31746,0.46769,1.0097,0.96361,0.90353,0.94398,0.86943,0.47127,0.52369,0.75154,0.000781323,0.000781323,0.000781323
163,5772.37,0.30224,0.37219,0.99282,0.87436,0.8569,0.91828,0.80794,0.59036,0.66909,0.86992,0.000775822,0.000775822,0.000775822
164,5787.2,0.33437,0.41954,1.01606,0.94557,0.90449,0.93857,0.83429,0.56595,0.62258,0.83212,0.000770321,0.000770321,0.000770321
165,5802.07,0.34359,0.422,1.01915,0.95027,0.91537,0.94621,0.855,0.52488,0.54655,0.78608,0.00076482,0.00076482,0.00076482
166,5816.79,0.32982,0.37634,1.00328,0.9491,0.92281,0.94293,0.85902,0.53183,0.54789,0.80517,0.000759318,0.000759318,0.000759318
167,5831.31,0.34486,0.43844,1.0159,0.97331,0.92399,0.94704,0.86644,0.48779,0.52046,0.76143,0.000753817,0.000753817,0.000753817
168,5846.23,0.33444,0.38739,1.00395,0.94721,0.91447,0.94505,0.86459,0.47821,0.58061,0.72603,0.000748316,0.000748316,0.000748316
169,5861.05,0.32238,0.38833,1.00415,0.97349,0.90853,0.9475,0.84805,0.5243,0.5611,0.77762,0.000742815,0.000742815,0.000742815
170,5875.87,0.32463,0.39573,1.00771,0.97952,0.92177,0.94215,0.83151,0.49656,0.52341,0.74083,0.000737314,0.000737314,0.000737314
171,5890.49,0.31271,0.38813,1.00385,0.98084,0.9132,0.94142,0.86105,0.43656,0.48402,0.69361,0.000731813,0.000731813,0.000731813
172,5905.09,0.31933,0.38922,1.00484,0.97959,0.91478,0.93925,0.85947,0.44729,0.48833,0.7123,0.000726312,0.000726312,0.000726312
173,5919.62,0.31554,0.38446,1.00704,0.97435,0.91664,0.93938,0.86481,0.43443,0.51165,0.70752,0.000720811,0.000720811,0.000720811
174,5934.21,0.33106,0.38603,1.01167,0.98806,0.9205,0.94479,0.85842,0.48679,0.5178,0.76621,0.00071531,0.00071531,0.00071531
175,5948.69,0.33675,0.39667,1.00995,0.96896,0.87834,0.94916,0.85771,0.5285,0.58597,0.79771,0.000709809,0.000709809,0.000709809
176,5963.24,0.34016,0.41247,1.02657,0.97996,0.9057,0.94372,0.85414,0.52311,0.5777,0.78961,0.000704307,0.000704307,0.000704307
177,5977.82,0.32772,0.38008,1.00582,0.97043,0.91334,0.94922,0.86311,0.50479,0.56609,0.76563,0.000698806,0.000698806,0.000698806
178,5992.4,0.31789,0.37978,1.00232,0.95842,0.92325,0.94664,0.86732,0.48281,0.53697,0.75107,0.000693305,0.000693305,0.000693305
179,6006.95,0.31516,0.35377,1.01021,0.96986,0.90485,0.9355,0.84961,0.46049,0.50082,0.72898,0.000687804,0.000687804,0.000687804
180,6021.62,0.33166,0.36316,1.00585,0.98088,0.91447,0.93173,0.83264,0.50113,0.48845,0.78117,0.000682303,0.000682303,0.000682303
181,6036.6,0.32537,0.37505,1.00475,0.95515,0.90298,0.93764,0.8491,0.48209,0.50548,0.76864,0.000676802,0.000676802,0.000676802
